baseline_n_catchments,baseline_npi_max,baseline_npi_mean,baseline_npi_mean_worst3,baseline_npi_mean_worst5,baseline_npi_mean_worst6,baseline_npi_p90,baseline_solidity_mean,baseline_solidity_mean_best6,baseline_solidity_mean_worst3,baseline_solidity_mean_worst5,baseline_solidity_mean_worst6,baseline_solidity_min,baseline_solidity_p10,delta_npi_max,delta_npi_mean,delta_npi_mean_on_baseline_worst5_sites,delta_npi_mean_on_baseline_worst6_sites,delta_npi_mean_worst3,delta_npi_mean_worst5,delta_npi_mean_worst6,delta_npi_p90,delta_solidity_mean,delta_solidity_mean_best6,delta_solidity_mean_on_baseline_worst5_sites,delta_solidity_mean_on_baseline_worst6_sites,delta_solidity_mean_worst3,delta_solidity_mean_worst5,delta_solidity_mean_worst6,delta_solidity_min,delta_solidity_p10,error,modality,n_sites_used_baseline_worst5_npi,n_sites_used_baseline_worst5_solidity,n_sites_used_baseline_worst6_npi,n_sites_used_baseline_worst6_solidity,pair_id,replay_path,result_json,selected_explored_index,selected_n_catchments,selected_npi_max,selected_npi_mean,selected_npi_mean_worst3,selected_npi_mean_worst5,selected_npi_mean_worst6,selected_npi_p90,selected_solidity_mean,selected_solidity_mean_best6,selected_solidity_mean_worst3,selected_solidity_mean_worst5,selected_solidity_mean_worst6,selected_solidity_min,selected_solidity_p10,selected_source,status
18,1.7718362577271376,1.490665230109432,1.6872451650510627,1.6515731349712026,1.6346311162870084,1.6329984872973233,0.9196148548031743,0.9806020753451942,0.8456270965581819,0.8605886988624822,0.8665395806205886,0.8269277845777452,0.85573443371405,0.0,-0.006183764828699978,0.0,-0.007898314054944714,0.0,0.0,-6.202343682559786e-05,0.0,0.0035699528370862765,0.002316954882534361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_10,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_10.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_10.json,1,18,1.7718362577271376,1.484481465280732,1.6872451650510627,1.6515731349712026,1.6345690928501828,1.6329984872973233,0.9231848076402606,0.9829190302277285,0.8456270965581819,0.8605886988624822,0.8665395806205886,0.8269277845777452,0.85573443371405,force_assign,completed
18,1.9528640545585891,1.505606283708384,1.84714352389204,1.730059777238343,1.6985521471534522,1.7846177743684322,0.9112349585847489,0.9925725708751044,0.7484493015061098,0.7855153827753456,0.7998531740403951,0.73066980023506,0.7602167019837697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_11,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_11.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_11.json,0,18,1.9528640545585891,1.505606283708384,1.84714352389204,1.730059777238343,1.6985521471534522,1.7846177743684322,0.9112349585847489,0.9925725708751044,0.7484493015061098,0.7855153827753456,0.7998531740403951,0.73066980023506,0.7602167019837697,baseline,completed
18,1.690613798872243,1.4470346776887906,1.635734494934727,1.5903994171074065,1.5757867623269,1.583640778978746,0.9465541655202981,0.9926371964366841,0.8622722494514553,0.8816988878216028,0.888763992008716,0.8145063801208322,0.8874700580278226,0.0,-0.004498392752779967,-0.05332505811876653,-0.042660046495013225,-0.03243017958043559,-0.028441664751071016,-0.025813149376967548,-0.02918716162239199,-0.0011961444708407099,0.0,0.010114037814408228,-0.0018947468072474604,-0.002902790562905322,0.0003511193778292787,-0.0003015577687830451,0.0,-0.0026125115066145677,,multimodal,4.0,4.0,5.0,5.0,shape_niceness_med_12,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_12.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_12.json,2,18,1.690613798872243,1.4425362849360106,1.6033043153542914,1.5619577523563355,1.5499736129499324,1.5544536173563541,0.9453580210494574,0.9926371964366841,0.85936945888855,0.882050007199432,0.888462434239933,0.8145063801208322,0.8848575465212081,resolve,completed
18,1.779006765390072,1.5028006556877733,1.7135336606783564,1.6688308160189849,1.6486536535084613,1.6690117168705854,0.9119611458019214,0.9732101177037396,0.8238754883131579,0.8360330842014909,0.8419933821337495,0.7824973319103226,0.8461695459047913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_13,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_13.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_13.json,0,18,1.779006765390072,1.5028006556877733,1.7135336606783564,1.6688308160189849,1.6486536535084613,1.6690117168705854,0.9119611458019214,0.9732101177037396,0.8238754883131579,0.8360330842014909,0.8419933821337495,0.7824973319103226,0.8461695459047913,baseline,completed
18,1.9511099438645496,1.5054034463249428,1.8457397004719935,1.7653336168252802,1.7271866660158481,1.772701735208935,0.9109080009591286,0.9884629839510835,0.7596994173617224,0.7977748228086038,0.814390548317098,0.7372229760290656,0.7726386722795471,-0.10717325617188278,-0.026592842015175977,-0.09573423125463436,-0.07977852604552864,-0.09968727046815329,-0.09573423125463432,-0.07977852604552882,-0.09361630152924239,0.007029783913792498,0.0,0.025307222089652394,0.021089351741376994,0.025376569673949967,0.025307222089652526,0.02108935174137705,0.029462076370244894,0.0292652743531312,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_14,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_14.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_14.json,1,18,1.8439366876926668,1.4788106043097669,1.7460524300038403,1.669599385570646,1.6474081399703193,1.6790854336796925,0.9179377848729211,0.9884629839510835,0.7850759870356724,0.8230820448982563,0.8354799000584751,0.7666850523993105,0.8019039466326783,force_assign,completed
18,1.9009035687708047,1.5499820530609243,1.7680278432472487,1.707630863657533,1.6901501469567013,1.685857788960337,0.8969882442082899,0.9545317507867503,0.7838238430347134,0.8118516382851226,0.823757535013946,0.720575783234461,0.8180288212092834,0.0,-0.026376702574777644,-0.07314792827718986,-0.060956606897658215,0.0,-0.005103587118129749,-0.011575386045091118,0.0,0.011491253225811127,0.013419421981372914,0.03820089955025394,0.03183408295854495,0.01116400492448677,0.014858303281866547,0.01397268738818247,0.0,0.01828251379253465,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_15,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_15.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_15.json,1,18,1.9009035687708047,1.5236053504861466,1.7680278432472487,1.7025272765394033,1.6785747609116102,1.685857788960337,0.9084794974341011,0.9679511727681233,0.7949878479592002,0.8267099415669892,0.8377302224021285,0.720575783234461,0.8363113350018181,force_assign,completed
18,1.9450673463374653,1.6051803097805326,1.9036767110127144,1.8496849414288683,1.8201849706149735,1.8783153134230985,0.8855367916394592,0.964834867949862,0.7539253563613887,0.7828795304921309,0.7930411028563098,0.6997817995122435,0.7831773363130272,-0.05042075316902572,-0.022359184959493517,-0.10677667079807725,-0.0889805589983977,-0.06850995158153594,-0.07094516884287216,-0.05912097403572658,-0.08784503620264772,0.006215325997538712,0.0,0.05101598857356195,0.04251332381130163,0.05154291994631399,0.03396225904721628,0.028301882539346845,0.07576483145605306,0.03885752752532923,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_16,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_16.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_16.json,2,18,1.8946465931684395,1.582821124821039,1.8351667594311785,1.7787397725859961,1.761063996579247,1.7904702772204508,0.8917521176369979,0.964834867949862,0.8054682763077027,0.8168417895393472,0.8213429853956566,0.7755466309682966,0.8220348638383564,force_assign,completed
18,1.768782749734315,1.508081753760654,1.7295487436090247,1.6939503986553373,1.679284622454411,1.6892175781943737,0.9028458876668436,0.9855536719063224,0.785623373557088,0.8121463075646285,0.8196799252044538,0.768798313422577,0.802886906295372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_17,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_17.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_17.json,0,18,1.768782749734315,1.508081753760654,1.7295487436090247,1.6939503986553373,1.679284622454411,1.6892175781943737,0.9028458876668436,0.9855536719063224,0.785623373557088,0.8121463075646285,0.8196799252044538,0.768798313422577,0.802886906295372,baseline,completed
18,1.8827138246236481,1.5744592377539655,1.8218937171504994,1.7918036580634216,1.7746381854683635,1.786223639657664,0.8900579656656222,0.9780953156200803,0.7476548067896597,0.7747768421271743,0.7884146640367854,0.7217186975494809,0.7677037661069175,0.0,-0.01330517147507626,-0.047898617310273915,-0.03991551442522826,0.014121854744666873,-0.0025919917578729468,-0.01125708560848171,0.023229716782722676,0.006837527328504178,0.0072971395213189405,-0.002012976870651784,-0.001677480725543153,-0.00335496145108638,-0.002012976870651828,-0.00167748072554319,-0.010064884353258918,0.0,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_18,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_18.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_18.json,1,18,1.8827138246236481,1.5611540662788892,1.8360155718951663,1.7892116663055486,1.7633810998598818,1.8094533564403867,0.8968954929941264,0.9853924551413993,0.7442998453385733,0.7727638652565225,0.7867371833112422,0.711653813196222,0.7677037661069175,force_assign,completed
18,2.1805659911370197,1.6256425209016128,2.0746360634062273,1.9366563918775541,1.8962083696098366,1.9772035502256669,0.8822875918238455,0.9773100992285301,0.7101839606353361,0.7492349244038745,0.7692173733422091,0.6555938577247438,0.7593714274247251,0.0,-0.00470265192292052,-0.005909967529558813,-0.004924972941299011,0.0,-0.004010601600308306,-0.004924972941299011,0.0,0.00456772752441581,-0.0037499392018621736,0.019435642848650358,0.016196369040541964,0.0033764938891608365,0.01538391352160362,0.014791521236945604,0.0,0.00709063716723779,,multimodal,5.0,5.0,6.0,6.0,shape_niceness_med_19,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_19.explore_replay.pkl,/Users/cat2510/MMIO/full_dataset/shape_niceness/results_multimodal_vague/shape_niceness_med_19.json,2,18,2.1805659911370197,1.6209398689786922,2.0746360634062273,1.9326457902772458,1.8912833966685376,1.9772035502256669,0.8868553193482613,0.9735601600266679,0.7135604545244969,0.7646188379254781,0.7840088945791547,0.6555938577247438,0.7664620645919629,force_assign,completed
